city,date,rate,state
Agartala,2012-10-27,46.93,Tripura
Agartala,2013-01-18,47.45,Tripura
Agartala,2013-02-16,47.96,Tripura
Agartala,2013-03-23,47.46,Tripura
Agartala,2013-04-01,48.47,Tripura
Agartala,2013-05-11,49.54,Tripura
Agartala,2013-06-01,50.11,Tripura
Agartala,2013-07-02,50.69,Tripura
Agartala,2013-08-01,51.26,Tripura
Agartala,2013-09-01,51.83,Tripura
Agartala,2013-10-01,52.4,Tripura
Agartala,2013-11-01,52.97,Tripura
Agartala,2013-12-01,53.54,Tripura
Agartala,2013-12-21,53.64,Tripura
Agartala,2014-01-04,54.21,Tripura
Agartala,2014-02-01,54.78,Tripura
Agartala,2014-03-01,55.36,Tripura
Agartala,2014-05-13,56.6,Tripura
Agartala,2014-06-01,57.17,Tripura
Agartala,2014-07-01,57.75,Tripura
Agartala,2014-08-01,58.32,Tripura
Agartala,2014-08-31,58.89,Tripura
Agartala,2014-10-19,55.49,Tripura
Agartala,2014-11-01,52.21,Tripura
Agartala,2014-12-01,52.37,Tripura
Agartala,2014-12-16,50.35,Tripura
Agartala,2015-01-17,48.07,Tripura
Agartala,2015-02-04,45.8,Tripura
Agartala,2015-02-16,46.42,Tripura
Agartala,2015-03-01,49.54,Tripura
Agartala,2015-04-02,48.32,Tripura
Agartala,2015-04-15,47.01,Tripura
Agartala,2015-05-01,49.4,Tripura
Agartala,2015-05-16,52.13,Tripura
Agartala,2015-06-16,50.77,Tripura
Agartala,2015-07-01,50.05,Tripura
Agartala,2015-07-15,47.77,Tripura
Agartala,2015-08-01,44.25,Tripura
Agartala,2015-08-15,43.11,Tripura
Agartala,2015-09-01,42.62,Tripura
Agartala,2015-09-01,42.62,Tripura
Agartala,2015-10-01,43.11,Tripura
Agartala,2015-10-16,44.04,Tripura
Agartala,2015-11-01,44.06,Tripura
Agartala,2015-11-16,44.91,Tripura
Agartala,2015-12-01,44.67,Tripura
Agartala,2015-12-16,44.21,Tripura
Agartala,2016-01-01,43.19,Tripura
Agartala,2016-01-15,42.36,Tripura
Agartala,2016-02-01,42.33,Tripura
Agartala,2016-02-17,42.6,Tripura
Agartala,2016-03-09,44.01,Tripura
Agartala,2016-03-17,45.84,Tripura
Agartala,2016-04-05,46.78,Tripura
Agartala,2016-04-16,45.53,Tripura
Agartala,2016-05-01,48.36,Tripura
Agartala,2016-05-17,49.58,Tripura
Agartala,2016-06-01,51.78,Tripura
Agartala,2016-06-15,53.01,Tripura
Agartala,2016-06-16,50.52,Tripura
Agartala,2016-11-06,54.27,Tripura
Agartala,2016-11-16,52.61,Tripura
Agartala,2017-04-16,55.04,Tripura
Agartala,2017-06-20,52.3,Tripura
Agartala,2017-06-22,52.27,Tripura
Agartala,2017-06-23,52.19,Tripura
Agartala,2017-06-27,51.88,Tripura
Agartala,2017-06-28,51.87,Tripura
Agartala,2017-07-04,51.76,Tripura
Agartala,2017-07-07,52.12,Tripura
Agartala,2017-07-11,53.02,Tripura
Agartala,2017-07-13,52.97,Tripura
Agartala,2017-07-14,52.94,Tripura
Agartala,2017-07-18,53.31,Tripura
Agartala,2017-07-20,53.32,Tripura
Agartala,2017-07-21,53.29,Tripura
Agartala,2017-07-25,53.22,Tripura
Agartala,2017-07-28,53.3,Tripura
